,TARGET,RA,DEC,RISE TIME,SET TIME,TRANSIT,OBSERVABLE DURING TRANSIT?
0,m1,83.63311445609,22.01448713834,2022-03-18 06:26:13.866,2022-03-18 19:26:25.288,-1 days +10:59:48.578429,[ True]
1,vega,279.234734787,38.783688956,2022-03-17 18:58:35.600,2022-03-18 09:01:17.034,-1 days +09:57:18.566060,[ True]
2,m2,323.362583,-0.82325,2022-03-17 22:58:18.329,2022-03-18 10:54:23.579,-1 days +12:03:54.749441,[ True]
3,m47,114.147,-14.489,2022-03-18 09:18:37.082,2022-03-18 20:36:52.733,-1 days +12:41:44.349804,[ True]
4,m57,283.39623652463,33.02913424654,2022-03-17 19:27:22.306,2022-03-18 09:05:51.527,-1 days +10:21:30.779104,[ True]
